Date,Tmax_1,Tmin_1,Tavg_1,Depart_1,DewPoint_1,WetBulb_1,Sunrise_1,Sunset_1,CodeSum_1,SnowFall_1,PrecipTotal_1,StnPressure_1,ResultSpeed_1,ResultDir_1,AvgSpeed_1,Tmax_2,Tmin_2,Tavg_2,DewPoint_2,WetBulb_2,CodeSum_2,PrecipTotal_2,StnPressure_2,ResultSpeed_2,ResultDir_2,AvgSpeed_2
2007-05-12 00:00:00,64,46,55.0,-2.0,36,46.0,2007-05-12 04:35:00,2007-05-12 19:01:00,MD,0.0,0.0,29.49,12.4,3,12.9,65,47,56.0,37,46.0,MD,0.0,29.54,12.7,1,13.0
2007-05-13 00:00:00,69,43,56.0,-2.0,33,46.0,2007-05-13 04:34:00,2007-05-13 19:02:00,MD,0.0,0.0,29.49,6.6,14,8.1,69,44,57.0,32,46.0,MD,0.0,29.55,6.4,11,7.6
2007-05-14 00:00:00,90,56,73.0,15.0,47,59.0,2007-05-14 04:33:00,2007-05-14 19:03:00,MD,0.0,0.0,29.23,16.9,21,17.3,90,54,72.0,45,58.0,MD,0.0,29.31,14.1,21,14.6
2007-05-15 00:00:00,80,57,69.0,11.0,56,61.0,2007-05-15 04:32:00,2007-05-15 19:04:00,RA BR,0.0,0.38,29.13,8.1,27,12.3,82,56,69.0,56,61.0,TSRA RA BR,0.6,29.19,8.1,25,10.8
2007-05-16 00:00:00,66,44,55.0,-4.0,43,48.0,2007-05-16 04:31:00,2007-05-16 19:05:00,RA BR,0.0,0.14,29.33,7.8,36,12.2,64,45,55.0,42,47.0,RA BR,0.07,29.39,8.0,36,11.8
2007-05-17 00:00:00,62,43,53.0,-6.0,32,43.0,2007-05-17 04:30:00,2007-05-17 19:06:00,MD,0.0,0.0,29.55,10.5,3,11.3,61,44,53.0,32,43.0,MD,0.0,29.62,11.7,1,12.2
2007-05-18 00:00:00,71,42,57.0,-3.0,30,46.0,2007-05-18 04:29:00,2007-05-18 19:07:00,MD,0.0,0.0,29.53,5.4,25,7.5,70,43,57.0,31,47.0,MD,0.0,29.6,3.4,22,5.5
2007-05-19 00:00:00,80,56,68.0,8.0,39,53.0,2007-05-19 04:28:00,2007-05-19 19:08:00,MD,0.0,0.0,29.34,11.1,24,11.4,80,56,68.0,37,53.0,MD,0.0,29.41,11.1,23,11.4
2007-05-20 00:00:00,69,43,56.0,-5.0,40,44.0,2007-05-20 04:27:00,2007-05-20 19:09:00,RA VCTS,0.0,0.07,29.38,10.4,4,10.7,69,44,57.0,41,45.0,TSRA RA,0.11,29.44,8.6,3,9.7
2007-05-21 00:00:00,80,44,62.0,1.0,50,56.0,2007-05-21 04:26:00,2007-05-21 19:10:00,MD,0.0,0.0,29.33,6.3,11,8.2,79,46,63.0,50,57.0,MD,0.0,29.39,6.3,10,7.8
2007-05-22 00:00:00,87,55,71.0,10.0,46,58.0,2007-05-22 04:25:00,2007-05-22 19:11:00,MD,0.0,0.0,29.34,10.0,18,10.2,87,60,74.0,44,58.0,MD,0.0,29.41,10.1,16,10.6
2007-05-23 00:00:00,89,60,75.0,14.0,49,61.0,2007-05-23 04:25:00,2007-05-23 19:12:00,MD,0.0,0.0,29.39,11.4,19,11.8,89,66,78.0,48,61.0,MD,0.0,29.47,10.9,18,11.2
2007-05-24 00:00:00,88,63,76.0,14.0,54,63.0,2007-05-24 04:24:00,2007-05-24 19:13:00,RA HZ,0.0,0.02,29.41,14.9,21,17.3,88,66,77.0,53,63.0,RA HZ,0.001,29.47,13.8,20,15.2
2007-05-25 00:00:00,70,56,63.0,1.0,44,53.0,2007-05-25 04:23:00,2007-05-25 19:14:00,MD,0.0,0.001,29.51,4.9,5,8.8,66,57,62.0,46,53.0,RA BR,0.09,29.57,4.5,5,8.2
2007-05-26 00:00:00,65,49,57.0,-5.0,55,56.0,2007-05-26 04:22:00,2007-05-26 19:15:00,TSRA RA BR HZ,0.0,1.01,29.36,2.8,17,7.2,70,50,60.0,55,57.0,TSRA RA BR,0.28,29.42,2.5,15,7.8
2007-05-27 00:00:00,75,57,66.0,4.0,47,56.0,2007-05-27 04:22:00,2007-05-27 19:16:00,RA BR,0.0,0.04,29.34,8.9,26,9.5,75,59,67.0,49,57.0,RA BR,0.08,29.41,8.2,24,9.2
2007-05-28 00:00:00,79,50,65.0,2.0,47,56.0,2007-05-28 04:21:00,2007-05-28 19:16:00,RA,0.0,0.001,29.43,4.8,10,5.3,76,54,65.0,49,57.0,MD,0.0,29.49,4.7,8,5.2
2007-05-29 00:00:00,88,60,74.0,10.0,58,65.0,2007-05-29 04:21:00,2007-05-29 19:17:00,BR HZ,0.0,0.0,29.39,5.8,18,6.5,88,65,77.0,59,66.0,BR HZ,0.0,29.44,5.8,16,7.4
2007-05-30 00:00:00,87,66,77.0,13.0,58,65.0,2007-05-30 04:20:00,2007-05-30 19:18:00,HZ,0.0,0.0,29.31,10.3,19,10.6,89,70,80.0,57,66.0,HZ,0.0,29.38,9.7,17,10.1
2007-05-31 00:00:00,78,65,72.0,8.0,61,65.0,2007-05-31 04:20:00,2007-05-31 19:19:00,RA HZ,0.0,0.01,29.28,9.3,19,9.9,80,68,74.0,61,66.0,RA BR,0.53,29.34,8.9,18,9.2
2007-06-01 00:00:00,85,62,74.0,10.0,63,66.0,2007-06-01 04:19:00,2007-06-01 19:20:00,TSRA BR HZ,0.0,0.19,29.19,4.2,17,6.4,86,67,77.0,63,67.0,TSRA BR HZ,0.21,29.25,4.7,16,5.8
2007-06-02 00:00:00,81,65,73.0,9.0,63,67.0,2007-06-02 04:19:00,2007-06-02 19:20:00,RA BR,0.0,0.04,29.03,6.5,22,7.4,81,68,75.0,62,67.0,RA BR,0.001,29.1,7.5,21,8.2
2007-06-03 00:00:00,78,62,70.0,6.0,60,63.0,2007-06-03 04:18:00,2007-06-03 19:21:00,TSRA RA BR HZ,0.0,0.01,28.82,5.2,25,6.7,77,64,71.0,60,64.0,RA BR HZ VCTS,0.32,28.87,4.9,24,7.2
2007-06-04 00:00:00,71,58,65.0,1.0,58,60.0,2007-06-04 04:18:00,2007-06-04 19:22:00,TSRA RA BR,0.0,0.39,28.82,7.8,31,9.7,72,56,64.0,57,60.0,RA BR,0.31,28.88,7.9,30,10.1
2007-06-05 00:00:00,64,47,56.0,-9.0,48,51.0,2007-06-05 04:17:00,2007-06-05 19:23:00,RA BR,0.0,0.42,29.1,5.2,5,7.6,63,51,57.0,47,52.0,RA BR,0.27,29.16,6.2,3,8.1
2007-06-06 00:00:00,71,44,58.0,-8.0,48,55.0,2007-06-06 04:17:00,2007-06-06 19:23:00,RA,0.0,0.01,29.07,10.8,17,11.4,73,48,61.0,47,55.0,RA,0.001,29.13,9.6,15,10.6
2007-06-07 00:00:00,91,71,81.0,15.0,62,69.0,2007-06-07 04:17:00,2007-06-07 19:24:00,MD,0.0,0.0,28.84,22.7,20,23.1,92,71,82.0,61,68.0,MD,0.0,28.91,20.3,19,20.7
2007-06-08 00:00:00,81,57,69.0,3.0,53,61.0,2007-06-08 04:17:00,2007-06-08 19:25:00,MD,0.0,0.0,29.18,10.9,28,13.8,81,63,72.0,54,62.0,MD,0.0,29.24,9.3,26,12.4
2007-06-09 00:00:00,79,52,66.0,0.0,47,57.0,2007-06-09 04:16:00,2007-06-09 19:25:00,MD,0.0,0.0,29.36,0.3,33,5.0,79,57,68.0,49,58.0,MD,0.0,29.42,2.4,19,4.7
2007-06-10 00:00:00,81,55,68.0,1.0,51,59.0,2007-06-10 04:16:00,2007-06-10 19:26:00,MD,0.0,0.0,29.34,4.8,17,5.6,81,61,71.0,50,60.0,MD,0.0,29.39,4.6,16,5.8
2007-06-11 00:00:00,86,58,72.0,5.0,52,61.0,2007-06-11 04:16:00,2007-06-11 19:26:00,MD,0.0,0.0,29.41,4.9,11,6.9,85,65,75.0,51,61.0,MD,0.0,29.47,6.6,9,8.4
2007-06-12 00:00:00,83,62,73.0,5.0,50,60.0,2007-06-12 04:16:00,2007-06-12 19:27:00,MD,0.0,0.0,29.44,8.3,5,8.8,82,66,74.0,51,61.0,MD,0.0,29.49,9.4,5,10.0
2007-06-13 00:00:00,87,60,74.0,6.0,53,62.0,2007-06-13 04:16:00,2007-06-13 19:27:00,MD,0.0,0.0,29.36,7.2,5,8.6,86,68,77.0,53,62.0,MD,0.0,29.41971426122502,7.0,5,8.616941392454084
2007-06-14 00:00:00,89,64,77.0,9.0,55,64.0,2007-06-14 04:16:00,2007-06-14 19:28:00,MD,0.0,0.0,29.3,5.6,5,6.8,89,68,79.0,54,63.0,MD,0.0,29.36,5.9,7,6.4
2007-06-15 00:00:00,91,63,77.0,9.0,56,64.0,2007-06-15 04:16:00,2007-06-15 19:28:00,MD,0.0,0.0,29.28,4.1,6,4.9,89,67,78.0,56,65.0,MD,0.0,29.34,3.8,9,4.1
2007-06-16 00:00:00,93,66,80.0,11.0,60,67.0,2007-06-16 04:16:00,2007-06-16 19:29:00,RA HZ,0.0,0.001,29.26,4.8,28,5.8,92,68,80.0,61,68.0,HZ,0.001,29.33,2.1,22,6.1
2007-06-17 00:00:00,91,70,81.0,12.0,64,70.0,2007-06-17 04:16:00,2007-06-17 19:29:00,HZ,0.0,0.0,29.23,2.8,11,6.3,91,71,81.0,65,70.0,HZ,0.16,29.28,4.0,11,6.1
2007-06-18 00:00:00,89,69,79.0,9.0,65,70.0,2007-06-18 04:16:00,2007-06-18 19:29:00,TSRA RA HZ,0.0,0.28,29.12,14.0,20,15.1,89,73,81.0,65,70.0,TSRA RA HZ,0.02,29.19,12.2,20,12.6
2007-06-19 00:00:00,80,65,73.0,3.0,55,63.0,2007-06-19 04:16:00,2007-06-19 19:30:00,RA,0.0,0.58,29.26,10.7,28,11.4,81,65,73.0,55,63.0,RA BR,0.93,29.31,10.1,29,11.3
2007-06-20 00:00:00,84,61,73.0,3.0,52,61.0,2007-06-20 04:16:00,2007-06-20 19:30:00,MD,0.0,0.0,29.39,7.8,27,8.8,85,62,74.0,50,61.0,MD,0.0,29.46,5.9,28,7.7
2007-06-21 00:00:00,77,61,69.0,-1.0,51,60.0,2007-06-21 04:16:00,2007-06-21 19:30:00,RA,0.0,0.01,29.36,3.5,3,10.7,80,66,73.0,51,61.0,RA,0.001,29.41,3.7,2,9.6
2007-06-22 00:00:00,76,61,69.0,-1.0,50,58.0,2007-06-22 04:17:00,2007-06-22 19:31:00,RA,0.0,0.001,29.33,7.8,6,8.7,75,62,69.0,49,58.0,RA,0.001,29.39,6.5,7,8.1
2007-06-23 00:00:00,67,62,65.0,-5.0,58,61.0,2007-06-23 04:17:00,2007-06-23 19:31:00,RA BR,0.0,0.05,29.23,7.6,12,9.0,68,61,65.0,60,62.0,RA BR,0.34,29.28,7.3,11,8.1
2007-06-24 00:00:00,77,63,70.0,-1.0,62,65.0,2007-06-24 04:17:00,2007-06-24 19:31:00,BR HZ,0.0,0.0,29.26,7.0,9,8.0,75,65,70.0,62,65.0,BR HZ,0.0,29.33,5.6,10,6.0
2007-06-25 00:00:00,89,65,77.0,6.0,66,70.0,2007-06-25 04:17:00,2007-06-25 19:31:00,BR HZ,0.0,0.0,29.38,3.9,14,6.8,86,67,77.0,67,70.0,BR HZ,0.0,29.44,4.0,12,5.9
2007-06-26 00:00:00,92,70,81.0,10.0,69,72.0,2007-06-26 04:18:00,2007-06-26 19:31:00,TSRA BR HZ VCTS,0.0,0.16,29.39,6.1,22,7.1,91,73,82.0,69,72.0,BR HZ,0.001,29.45,7.3,21,8.1
2007-06-27 00:00:00,91,71,81.0,10.0,70,72.0,2007-06-27 04:18:00,2007-06-27 19:31:00,TSRA,0.0,0.15,29.29,7.5,24,8.8,89,71,80.0,69,72.0,TSRA RA BR,0.35,29.36,7.9,24,8.5
2007-06-28 00:00:00,74,58,66.0,-5.0,55,60.0,2007-06-28 04:19:00,2007-06-28 19:31:00,MD,0.0,0.0,29.41,11.9,3,12.5,73,61,67.0,56,61.0,MD,0.0,29.43,12.2,2,13.3
2007-06-29 00:00:00,70,56,63.0,-8.0,55,59.0,2007-06-29 04:19:00,2007-06-29 19:31:00,MD,0.0,0.0,29.41,7.6,2,8.3,71,56,64.0,56,60.0,MD,0.0,29.47,7.4,2,8.2
2007-06-30 00:00:00,79,54,67.0,-5.0,46,56.0,2007-06-30 04:19:00,2007-06-30 19:31:00,MD,0.0,0.0,29.41,4.9,3,5.8,77,58,68.0,49,58.0,MD,0.0,29.46,5.1,4,6.2
2007-07-01 00:00:00,75,54,65.0,-7.0,52,58.0,2007-07-01 04:20:00,2007-07-01 19:31:00,MD,0.0,0.0,29.51,8.6,4,8.6,76,61,69.0,51,59.0,MD,0.0,29.56,9.5,4,9.7
2007-07-02 00:00:00,79,53,66.0,-6.0,50,58.0,2007-07-02 04:20:00,2007-07-02 19:31:00,MD,0.0,0.0,29.49,5.9,14,8.1,77,58,68.0,50,59.0,MD,0.0,29.55,7.4,12,8.5
2007-07-03 00:00:00,83,60,72.0,0.0,57,63.0,2007-07-03 04:21:00,2007-07-03 19:31:00,TSRA RA BR,0.0,0.4,29.31,6.7,21,7.3,83,63,73.0,56,63.0,TSRA RA,0.09,29.38,6.4,21,7.4
2007-07-04 00:00:00,86,67,77.0,5.0,65,69.0,2007-07-04 04:22:00,2007-07-04 19:30:00,TSRA BR HZ FU,0.0,0.16,29.18,4.6,27,8.2,84,67,76.0,65,69.0,TSRA RA HZ FU,0.66,29.23,3.1,25,8.8
2007-07-05 00:00:00,89,71,80.0,8.0,60,67.0,2007-07-05 04:22:00,2007-07-05 19:30:00,BR HZ FU,0.0,0.0,29.24,6.4,31,8.1,88,70,79.0,60,67.0,BR,0.0,29.29,4.3,33,6.9
2007-07-06 00:00:00,86,66,76.0,4.0,57,64.0,2007-07-06 04:23:00,2007-07-06 19:30:00,MD,0.0,0.0,29.32,3.2,5,5.5,84,68,76.0,57,65.0,MD,0.0,29.38,3.3,7,5.5
2007-07-07 00:00:00,90,64,77.0,5.0,63,69.0,2007-07-07 04:23:00,2007-07-07 19:30:00,MD,0.0,0.0,29.18,8.4,22,8.6,88,68,78.0,62,68.0,MD,0.0,29.24,7.4,23,8.1
2007-07-08 00:00:00,94,75,85.0,12.0,67,72.0,2007-07-08 04:24:00,2007-07-08 19:29:00,MD,0.0,0.0,29.05,12.9,24,13.1,93,75,84.0,67,72.0,MD,0.0,29.12,12.6,23,12.7
2007-07-09 00:00:00,94,70,82.0,9.0,66,70.0,2007-07-09 04:25:00,2007-07-09 19:29:00,TSRA RA VCTS,0.0,0.3,29.11,4.9,24,8.8,93,72,83.0,67,71.0,RA,0.24,29.16,4.8,23,8.8
2007-07-10 00:00:00,89,69,79.0,6.0,67,70.0,2007-07-10 04:25:00,2007-07-10 19:29:00,HZ VCTS,0.0,0.43,29.06,8.6,23,10.5,89,70,80.0,67,71.0,TSRA HZ,0.08,29.13,8.2,23,10.2
2007-07-11 00:00:00,77,62,70.0,-3.0,51,59.0,2007-07-11 04:26:00,2007-07-11 19:28:00,MD,0.0,0.0,29.23,8.8,30,10.9,77,63,70.0,51,59.0,MD,0.0,29.28,9.1,30,11.2
2007-07-12 00:00:00,80,61,71.0,-2.0,51,59.0,2007-07-12 04:27:00,2007-07-12 19:28:00,MD,0.0,0.0,29.22,9.4,29,11.1,80,60,70.0,51,60.0,VCTS,0.0,29.28,10.0,28,11.4
2007-07-13 00:00:00,78,58,68.0,-5.0,52,58.0,2007-07-13 04:28:00,2007-07-13 19:27:00,MD,0.0,0.0,29.26,1.4,1,5.3,74,59,67.0,53,59.0,MD,0.0,29.33,2.0,7,5.8
2007-07-14 00:00:00,84,61,73.0,0.0,55,62.0,2007-07-14 04:28:00,2007-07-14 19:27:00,MD,0.0,0.0,29.08,8.3,26,13.2,85,62,74.0,55,62.0,MD,0.0,29.14,8.4,25,13.9
2007-07-15 00:00:00,82,60,71.0,-3.0,53,61.0,2007-07-15 04:29:00,2007-07-15 19:26:00,MD,0.0,0.0,29.19,2.1,29,4.9,80,64,72.0,52,61.0,MD,0.0,29.25,1.2,9,6.5
2007-07-16 00:00:00,82,65,74.0,0.0,60,65.0,2007-07-16 04:30:00,2007-07-16 19:25:00,RA BR,0.0,0.39,29.25,4.4,24,5.2,82,66,74.0,60,65.0,TSRA RA,0.07,29.31,5.6,23,6.6
2007-07-17 00:00:00,83,68,76.0,2.0,66,69.0,2007-07-17 04:31:00,2007-07-17 19:25:00,RA BR VCTS,0.0,0.11,29.18,5.2,23,6.5,83,69,76.0,65,69.0,RA BR,0.11,29.24,6.3,23,7.4
2007-07-18 00:00:00,85,69,77.0,3.0,68,71.0,2007-07-18 04:32:00,2007-07-18 19:24:00,TSRA RA BR VCTS,0.0,1.55,29.11,9.1,24,10.1,85,69,77.0,69,71.0,TS TSRA RA BR HZ VCTS,0.92,29.18,10.3,24,10.6
2007-07-19 00:00:00,83,63,73.0,-1.0,63,66.0,2007-07-19 04:33:00,2007-07-19 19:23:00,DZ BR,0.0,0.16,29.21,7.0,1,11.9,82,63,73.0,62,66.0,BR HZ,0.01,29.26,7.7,36,14.4
2007-07-20 00:00:00,75,58,67.0,-7.0,53,59.0,2007-07-20 04:33:00,2007-07-20 19:23:00,MD,0.0,0.0,29.44,8.6,3,9.1,74,62,68.0,52,59.0,MD,0.0,29.49,11.3,4,11.5
2007-07-21 00:00:00,74,58,66.0,-8.0,52,58.0,2007-07-21 04:34:00,2007-07-21 19:22:00,MD,0.0,0.0,29.51,6.5,3,7.4,75,58,67.0,52,59.0,MD,0.0,29.57,5.8,4,7.4
2007-07-22 00:00:00,81,58,70.0,-4.0,55,61.0,2007-07-22 04:35:00,2007-07-22 19:21:00,MD,0.0,0.0,29.49,1.7,16,3.3,81,61,71.0,54,61.0,MD,0.0,29.54,1.9,18,3.5
2007-07-23 00:00:00,83,60,72.0,-2.0,55,63.0,2007-07-23 04:36:00,2007-07-23 19:20:00,MD,0.0,0.0,29.37,3.2,9,4.0,82,63,73.0,55,63.0,MD,0.0,29.42,2.9,12,3.9
2007-07-24 00:00:00,82,65,74.0,0.0,58,64.0,2007-07-24 04:37:00,2007-07-24 19:19:00,MD,0.0,0.0,29.32,3.1,20,5.2,82,65,74.0,57,64.0,MD,0.001,29.38,1.1,21,4.9
2007-07-25 00:00:00,85,71,78.0,4.0,61,67.0,2007-07-25 04:38:00,2007-07-25 19:18:00,MD,0.0,0.001,29.29,5.8,25,6.6,83,70,77.0,60,66.0,MD,0.0,29.35,6.4,23,7.0
2007-07-26 00:00:00,83,66,75.0,1.0,65,68.0,2007-07-26 04:39:00,2007-07-26 19:18:00,TS TSRA RA BR HZ,0.0,0.19,29.19,7.2,22,9.4,84,64,74.0,65,68.0,TS TSRA BR HZ,0.89,29.25,7.2,22,9.9
2007-07-27 00:00:00,83,70,77.0,3.0,68,70.0,2007-07-27 04:40:00,2007-07-27 19:17:00,RA BR HZ,0.0,0.17,29.11,3.0,3,7.9,83,70,77.0,67,70.0,RA BR HZ,0.04,29.16,1.2,36,8.1
2007-07-28 00:00:00,80,66,73.0,-1.0,65,68.0,2007-07-28 04:41:00,2007-07-28 19:16:00,BR HZ,0.0,0.0,29.23,10.0,3,10.2,80,70,75.0,65,68.0,BR HZ,0.0,29.28,10.6,3,10.7
2007-07-29 00:00:00,85,63,74.0,0.0,57,64.0,2007-07-29 04:42:00,2007-07-29 19:15:00,MD,0.0,0.0,29.28,4.8,5,5.7,85,67,76.0,56,64.0,MD,0.0,29.34,6.3,5,6.9
2007-07-30 00:00:00,89,62,76.0,2.0,55,64.0,2007-07-30 04:43:00,2007-07-30 19:14:00,MD,0.0,0.0,29.33,3.8,6,4.3,86,65,76.0,57,65.0,MD,0.0,29.39,3.1,6,4.6
2007-07-31 00:00:00,91,68,80.0,6.0,61,68.0,2007-07-31 04:44:00,2007-07-31 19:13:00,MD,0.0,0.0,29.33,3.3,4,4.9,89,69,79.0,60,68.0,MD,0.0,29.39,4.0,7,5.0
2007-08-01 00:00:00,92,69,81.0,8.0,62,69.0,2007-08-01 04:45:00,2007-08-01 19:11:00,HZ,0.0,0.0,29.29,3.5,9,4.1,91,69,80.0,63,70.0,MD,0.0,29.34,2.1,13,3.7
2007-08-02 00:00:00,91,70,81.0,8.0,66,71.0,2007-08-02 04:46:00,2007-08-02 19:10:00,HZ,0.0,0.0,29.26,5.5,26,5.9,91,73,82.0,66,72.0,MD,0.0,29.31,6.5,23,7.2
2007-08-03 00:00:00,90,69,80.0,7.0,56,66.0,2007-08-03 04:47:00,2007-08-03 19:09:00,MD,0.0,0.0,29.31,2.7,3,5.7,88,73,81.0,58,67.0,MD,0.0,29.36,3.3,6,5.8
2007-08-04 00:00:00,81,64,73.0,0.0,58,64.0,2007-08-04 04:48:00,2007-08-04 19:08:00,RA,0.0,0.03,29.31,5.7,8,6.1,81,68,75.0,58,65.0,RA,0.02,29.36,5.9,9,6.6
2007-08-05 00:00:00,88,67,78.0,5.0,71,73.0,2007-08-05 04:49:00,2007-08-05 19:07:00,TSRA RA BR HZ,0.0,1.43,29.08,5.4,21,9.6,88,68,78.0,71,72.0,TSRA RA BR VCTS,0.97,29.15,7.0,22,10.2
2007-08-06 00:00:00,88,74,81.0,8.0,72,74.0,2007-08-06 04:50:00,2007-08-06 19:06:00,TSRA RA BR HZ,0.0,0.26,29.13,1.6,10,4.9,85,75,80.0,72,74.0,TS TSRA BR HZ,0.05,29.17,2.6,10,4.6
2007-08-07 00:00:00,91,72,82.0,9.0,73,76.0,2007-08-07 04:51:00,2007-08-07 19:04:00,RA BR,0.0,1.31,29.06,6.2,25,9.0,92,73,83.0,73,76.0,VCTS,0.06,29.11,6.3,24,8.8
2007-08-08 00:00:00,87,73,80.0,7.0,71,73.0,2007-08-08 04:52:00,2007-08-08 19:03:00,TSRA RA BR,0.0,0.06,29.13,3.0,3,6.9,87,74,81.0,72,74.0,TSRA RA DZ BR HZ,0.09,29.18,1.5,4,6.4
2007-08-09 00:00:00,84,72,78.0,5.0,71,73.0,2007-08-09 04:53:00,2007-08-09 19:02:00,TSRA RA,0.0,0.05,29.13,2.5,29,6.0,85,73,79.0,71,73.0,TSRA BR HZ,0.46,29.19,3.1,27,6.3
2007-08-10 00:00:00,86,70,78.0,5.0,68,72.0,2007-08-10 04:54:00,2007-08-10 19:00:00,BR,0.0,0.0,29.26,4.5,2,5.9,86,73,80.0,69,72.0,MD,0.0,29.32,3.0,6,5.4
2007-08-11 00:00:00,89,67,78.0,5.0,65,70.0,2007-08-11 04:55:00,2007-08-11 18:59:00,BR HZ,0.0,0.0,29.31,3.2,19,3.9,88,68,78.0,65,70.0,BR HZ,0.0,29.38,3.1,20,3.9
2007-08-12 00:00:00,88,67,78.0,5.0,67,71.0,2007-08-12 04:56:00,2007-08-12 18:58:00,TSRA,0.0,0.29,29.34,1.7,6,5.4,87,68,78.0,67,70.0,TSRA,0.23,29.4,1.9,6,6.6
2007-08-13 00:00:00,81,65,73.0,0.0,57,64.0,2007-08-13 04:57:00,2007-08-13 18:56:00,BR,0.0,0.0,29.39,6.2,6,6.9,80,69,75.0,54,63.0,MD,0.0,29.44,6.9,8,7.7
2007-08-14 00:00:00,84,65,75.0,3.0,67,70.0,2007-08-14 04:58:00,2007-08-14 18:55:00,TS TSRA RA BR,0.0,0.41,29.23,5.9,25,8.0,84,65,75.0,66,69.0,TSRA RA BR,0.45,29.29,6.4,23,9.0
2007-08-15 00:00:00,80,71,76.0,4.0,67,70.0,2007-08-15 04:59:00,2007-08-15 18:54:00,TSRA RA BR,0.0,0.23,29.17,3.4,7,5.8,81,72,77.0,69,71.0,TS TSRA RA BR,0.83,29.23,4.9,6,7.1
2007-08-16 00:00:00,77,65,71.0,-1.0,64,67.0,2007-08-16 05:00:00,2007-08-16 18:52:00,BR,0.0,0.0,29.28,3.6,1,5.7,77,67,72.0,65,68.0,BR,0.0,29.33,3.5,1,5.7
2007-08-17 00:00:00,79,60,70.0,-2.0,54,61.0,2007-08-17 05:01:00,2007-08-17 18:51:00,MD,0.0,0.0,29.41,5.9,32,6.8,80,65,73.0,54,62.0,MD,0.0,29.46,6.1,31,7.4
2007-08-18 00:00:00,68,59,64.0,-8.0,54,58.0,2007-08-18 05:02:00,2007-08-18 18:49:00,RA,0.0,0.09,29.44,6.4,12,8.1,69,60,65.0,54,58.0,RA,0.42,29.48,6.1,13,7.0
2007-08-19 00:00:00,68,62,65.0,-6.0,62,64.0,2007-08-19 05:03:00,2007-08-19 18:48:00,TS RA BR,0.0,1.33,29.24,6.0,10,7.4,69,62,66.0,63,64.0,TS RA BR,1.33,29.3,5.5,10,7.5
